Price,Store ID,UPC,Banner,Region
24.95,66999,268588472,Walmart,Northern California
49.71,66999,475245085,Walmart,Northern California
25.75,66999,126967843,Walmart,Northern California
18.81,66999,708930835,Walmart,Northern California
33.32,66999,325885139,Walmart,Northern California
40.43,66999,509419735,Walmart,Northern California
35.1,66999,736362595,Walmart,Northern California
33.65,66999,652377244,Walmart,Northern California
22.3,66999,277394644,Walmart,Northern California
12.32,66999,996849471,Walmart,Northern California
18.25,66999,278354885,Walmart,Northern California
17.35,66999,215480572,Walmart,Northern California
9.53,66999,526069074,Walmart,Northern California
9.94,66999,265077864,Walmart,Northern California
55.21,66999,627831552,Walmart,Northern California
36.82,66999,992105314,Walmart,Northern California
61.56,66999,39408244,Walmart,Northern California
1.34,66999,372268051,Walmart,Northern California
32.01,66999,375916960,Walmart,Northern California
44.76,66999,742726716,Walmart,Northern California
2.65,66999,243131192,Walmart,Northern California
52.15,66999,388544851,Walmart,Northern California
48.86,66999,905914857,Walmart,Northern California
2.22,66999,226080317,Walmart,Northern California
32.2,66999,502816606,Walmart,Northern California
61.77,66999,986134213,Walmart,Northern California
16.64,66999,714264288,Walmart,Northern California
20.64,66999,585091176,Walmart,Northern California
38.82,66999,645118810,Walmart,Northern California
56.14,66999,81313305,Walmart,Northern California
37.47,66999,213387822,Walmart,Northern California
9.23,66999,226008184,Walmart,Northern California
14.12,66999,252888653,Walmart,Northern California
12.8,66999,561425157,Walmart,Northern California
39.06,66999,396134202,Walmart,Northern California
47.3,66999,546802474,Walmart,Northern California
35.67,66999,333664376,Walmart,Northern California
62.82,66999,981510405,Walmart,Northern California
38.67,66999,90756884,Walmart,Northern California
6.21,66999,19696884,Walmart,Northern California
50.26,66999,303530277,Walmart,Northern California
46.64,66999,173173585,Walmart,Northern California
57.75,66999,506732002,Walmart,Northern California
13.84,66999,60042797,Walmart,Northern California
24.25,66999,795937333,Walmart,Northern California
17.61,66999,916097175,Walmart,Northern California
37.8,66999,291765113,Walmart,Northern California
48.24,66999,963229417,Walmart,Northern California
26.97,66999,256001467,Walmart,Northern California
3.97,66999,205698731,Walmart,Northern California
23.1,66999,899571200,Walmart,Northern California
6.02,66999,163383455,Walmart,Northern California
41.95,66999,769464973,Walmart,Northern California
12.46,66999,927312846,Walmart,Northern California
3.16,66999,699701113,Walmart,Northern California
31.82,66999,115681900,Walmart,Northern California
5.3,66999,383194572,Walmart,Northern California
43.11,66999,339765937,Walmart,Northern California
19.93,66999,690069404,Walmart,Northern California
41.12,66999,95658838,Walmart,Northern California
8.7,66999,850719150,Walmart,Northern California
11.91,66999,643110527,Walmart,Northern California
42.4,66999,127838957,Walmart,Northern California
3.66,66999,353556196,Walmart,Northern California
17.07,66999,582214622,Walmart,Northern California
19.73,66999,928259579,Walmart,Northern California
52.41,66999,311149036,Walmart,Northern California
26.91,66999,388197861,Walmart,Northern California
28.12,66999,774949377,Walmart,Northern California
29.56,66999,503341824,Walmart,Northern California
43.05,66999,205812283,Walmart,Northern California
28.92,66999,98441419,Walmart,Northern California
6.22,66999,786293238,Walmart,Northern California
54.77,66999,438682627,Walmart,Northern California
15.65,66999,434688119,Walmart,Northern California
8.4,66999,529559570,Walmart,Northern California
29.81,66999,678539677,Walmart,Northern California
42.37,66999,643891644,Walmart,Northern California
43.81,66999,311513952,Walmart,Northern California
14.44,66999,243934119,Walmart,Northern California
48.93,66999,442236507,Walmart,Northern California
39.72,66999,196109651,Walmart,Northern California
1.83,66999,45845527,Walmart,Northern California
21.25,66999,94769945,Walmart,Northern California
41.32,66999,872889619,Walmart,Northern California
34.55,66999,314756902,Walmart,Northern California
32.82,66999,962019991,Walmart,Northern California
43.2,66999,827631041,Walmart,Northern California
21.7,66999,220433295,Walmart,Northern California
32.81,66999,132458395,Walmart,Northern California
5.53,66999,11873171,Walmart,Northern California
28.83,66999,278003538,Walmart,Northern California
20.13,66999,927693101,Walmart,Northern California
53.93,66999,932170886,Walmart,Northern California
49.75,66999,395790602,Walmart,Northern California
50.47,66999,363461563,Walmart,Northern California
22.16,66999,395515572,Walmart,Northern California
22.06,66999,617543188,Walmart,Northern California
59.35,66999,587031338,Walmart,Northern California
40.51,66999,222633181,Walmart,Northern California
50.53,66999,723934665,Walmart,Northern California
54.56,66999,849425547,Walmart,Northern California
5.37,66999,449986246,Walmart,Northern California
37.52,66999,81927167,Walmart,Northern California
33.27,66999,915191199,Walmart,Northern California
25.1,66999,333967502,Walmart,Northern California
59.73,66999,27866264,Walmart,Northern California
18.87,66999,978196729,Walmart,Northern California
16.67,66999,923891080,Walmart,Northern California
50.84,66999,391122766,Walmart,Northern California
18.37,66999,25313327,Walmart,Northern California
43.73,66999,187405236,Walmart,Northern California
15.83,66999,574010167,Walmart,Northern California
35.17,66999,454788216,Walmart,Northern California
20.76,66999,683810722,Walmart,Northern California
0.93,66999,557637639,Walmart,Northern California
51.83,66999,269161785,Walmart,Northern California
33.46,66999,440309024,Walmart,Northern California
58.25,66999,795655973,Walmart,Northern California
18.94,66999,152458350,Walmart,Northern California
62.32,66999,584598491,Walmart,Northern California
45.9,66999,189565540,Walmart,Northern California
61.34,66999,254804864,Walmart,Northern California
24.05,66999,967167461,Walmart,Northern California
51.8,66999,749133422,Walmart,Northern California
34.06,66999,119616993,Walmart,Northern California
19.31,66999,583382498,Walmart,Northern California
1.03,66999,499640947,Walmart,Northern California
60.02,66999,70124770,Walmart,Northern California
41.66,66999,536411687,Walmart,Northern California
0.94,66999,604272498,Walmart,Northern California
18.67,66999,157966725,Walmart,Northern California
22.11,66999,435304991,Walmart,Northern California
39.23,66999,883713851,Walmart,Northern California
55.36,66999,441404447,Walmart,Northern California
49.34,66999,223905761,Walmart,Northern California
5.34,66999,551067349,Walmart,Northern California
18.97,66999,793865483,Walmart,Northern California
27.25,66999,877162041,Walmart,Northern California
47.62,66999,549873373,Walmart,Northern California
43.25,66999,866416138,Walmart,Northern California
63.12,66999,421176959,Walmart,Northern California
45.85,66999,690308756,Walmart,Northern California
58.31,66999,350639776,Walmart,Northern California
48.4,66999,688174297,Walmart,Northern California
27.95,66999,654483249,Walmart,Northern California
50.45,66999,162356142,Walmart,Northern California
61.91,66999,835193761,Walmart,Northern California
54.92,66999,801329171,Walmart,Northern California
39.44,66999,958194401,Walmart,Northern California
54.16,66999,534498710,Walmart,Northern California
39.26,66999,441453292,Walmart,Northern California
59.52,66999,591915659,Walmart,Northern California
54.65,66999,441947799,Walmart,Northern California
25.15,66999,399409590,Walmart,Northern California
8.37,66999,748626363,Walmart,Northern California
54.24,66999,429624919,Walmart,Northern California
56.62,66999,305207870,Walmart,Northern California
3.82,66999,701377201,Walmart,Northern California
23.73,66999,728311671,Walmart,Northern California
2.12,66999,375780233,Walmart,Northern California
41.21,66999,310210791,Walmart,Northern California
56.02,66999,83141336,Walmart,Northern California
48.91,66999,791901779,Walmart,Northern California
41.42,66999,314205929,Walmart,Northern California
15.12,66999,373709792,Walmart,Northern California
43.5,66999,74029795,Walmart,Northern California
59.9,66999,506238955,Walmart,Northern California
12.8,66999,44385546,Walmart,Northern California
34.71,66999,240924482,Walmart,Northern California
5.62,66999,861024387,Walmart,Northern California
44.61,66999,804094528,Walmart,Northern California
25.17,66999,856554674,Walmart,Northern California
34.94,66999,248544810,Walmart,Northern California
33.33,66999,57394222,Walmart,Northern California
42.93,66999,414105716,Walmart,Northern California
50.76,66999,698731992,Walmart,Northern California
48.22,66999,764458897,Walmart,Northern California
36.14,66999,66025021,Walmart,Northern California
25.96,66999,365630841,Walmart,Northern California
54.46,66999,534500231,Walmart,Northern California
26.71,66999,966125119,Walmart,Northern California
40.42,66999,303748850,Walmart,Northern California
59.46,66999,111650456,Walmart,Northern California
5.67,66999,16999755,Walmart,Northern California
33.03,66999,486482090,Walmart,Northern California
13.45,66999,634830299,Walmart,Northern California
28.13,66999,488091787,Walmart,Northern California
21.15,66999,588225773,Walmart,Northern California
40.24,66999,238497653,Walmart,Northern California
2.42,66999,200021055,Walmart,Northern California
31.37,66999,430094535,Walmart,Northern California
33.4,66999,526212256,Walmart,Northern California
21.36,66999,557031026,Walmart,Northern California
54.52,66999,980150388,Walmart,Northern California
36.75,66999,831054514,Walmart,Northern California
47.62,66999,965370690,Walmart,Northern California
41.96,66999,758967619,Walmart,Northern California
55.46,66999,300702726,Walmart,Northern California
9.75,66999,768628469,Walmart,Northern California
28.55,66999,200282631,Walmart,Northern California
12.21,66999,835966795,Walmart,Northern California
8.55,66999,21872584,Walmart,Northern California
43.73,66999,583814806,Walmart,Northern California
13.97,66999,426268457,Walmart,Northern California
45.66,66999,865020811,Walmart,Northern California
28.43,66999,840138489,Walmart,Northern California
7.95,66999,477638150,Walmart,Northern California
45.52,66999,938758588,Walmart,Northern California
58.36,66999,966807089,Walmart,Northern California
28.57,66999,574404121,Walmart,Northern California
3.33,66999,69037528,Walmart,Northern California
47.33,66999,200809424,Walmart,Northern California
55.36,66999,820540489,Walmart,Northern California
61.95,66999,377365657,Walmart,Northern California
10.3,66999,905792642,Walmart,Northern California
3.22,66999,17066659,Walmart,Northern California
13.57,66999,952635660,Walmart,Northern California
43.15,66999,508453812,Walmart,Northern California
25.9,66999,47158754,Walmart,Northern California
2.0,66999,285638116,Walmart,Northern California
44.11,66999,571419391,Walmart,Northern California
41.67,66999,678530217,Walmart,Northern California
13.77,66999,387815880,Walmart,Northern California
60.66,66999,797375865,Walmart,Northern California
24.92,66999,993910240,Walmart,Northern California
55.77,66999,298650567,Walmart,Northern California
59.1,66999,112817865,Walmart,Northern California
39.81,66999,988776021,Walmart,Northern California
27.74,66999,23493525,Walmart,Northern California
48.01,66999,323385020,Walmart,Northern California
57.15,66999,899956196,Walmart,Northern California
37.12,66999,529968586,Walmart,Northern California
18.2,66999,922747986,Walmart,Northern California
35.52,66999,743414051,Walmart,Northern California
59.7,66999,295208432,Walmart,Northern California
28.33,66999,450309449,Walmart,Northern California
62.11,66999,456113225,Walmart,Northern California
42.11,66999,808274867,Walmart,Northern California
34.04,66999,476935693,Walmart,Northern California
30.72,66999,361609713,Walmart,Northern California
6.82,66999,311625369,Walmart,Northern California
59.67,66999,461128883,Walmart,Northern California
17.9,66999,917211564,Walmart,Northern California
25.6,66999,627416688,Walmart,Northern California
59.91,66999,884354350,Walmart,Northern California
60.46,66999,881539712,Walmart,Northern California
34.0,66999,299791600,Walmart,Northern California
41.45,66999,292740862,Walmart,Northern California
8.06,66999,672429356,Walmart,Northern California
16.23,66999,306887951,Walmart,Northern California
23.4,66999,110497121,Walmart,Northern California
26.21,66999,441772088,Walmart,Northern California
31.73,66999,764530996,Walmart,Northern California
28.51,66999,400625108,Walmart,Northern California
45.01,66999,193724353,Walmart,Northern California
40.81,66999,383193164,Walmart,Northern California
1.77,66999,762004012,Walmart,Northern California
26.32,66999,878698622,Walmart,Northern California
6.85,66999,643629043,Walmart,Northern California
3.16,66999,864093895,Walmart,Northern California
