              mean se_mean   sd  2.5%   25%   50%   75% 97.5% n_eff Rhat
beta_0jk[1]  -0.02    0.01 0.03 -0.06 -0.04 -0.02  0.00  0.04 27.72 1.27
beta_0jk[2]  -0.09    0.01 0.03 -0.14 -0.11 -0.09 -0.07 -0.03 28.40 1.26
beta_0jk[3]   0.17    0.01 0.03  0.12  0.15  0.17  0.19  0.23 28.09 1.26
beta_0jk[4]  -0.06    0.01 0.03 -0.10 -0.07 -0.06 -0.04  0.00 28.05 1.26
beta_0jk[5]  -0.14    0.01 0.03 -0.19 -0.16 -0.14 -0.12 -0.08 27.72 1.27
beta_0jk[6]  -0.02    0.01 0.03 -0.06 -0.04 -0.02  0.00  0.04 27.72 1.27
beta_0jk[7]  -0.12    0.01 0.03 -0.17 -0.14 -0.12 -0.10 -0.07 28.24 1.26
beta_0jk[8]   0.40    0.01 0.03  0.35  0.38  0.39  0.41  0.45 28.00 1.26
beta_0jk[9]   0.26    0.01 0.03  0.21  0.24  0.26  0.28  0.32 28.45 1.26
beta_0jk[10] -0.03    0.01 0.03 -0.08 -0.05 -0.04 -0.02  0.02 27.84 1.27
beta_0jk[11] -0.10    0.01 0.03 -0.15 -0.12 -0.11 -0.09 -0.05 27.62 1.27
beta_0jk[12] -0.20    0.01 0.03 -0.25 -0.22 -0.21 -0.18 -0.15 27.94 1.26
beta_0jk[13] -0.19    0.01 0.03 -0.24 -0.21 -0.19 -0.17 -0.13 27.87 1.27
beta_0jk[14]  0.15    0.01 0.03  0.10  0.13  0.14  0.16  0.20 27.63 1.27
beta_0jk[15]  0.07    0.01 0.03  0.02  0.05  0.07  0.09  0.13 27.98 1.26
beta_0jk[16] -0.07    0.01 0.03 -0.12 -0.09 -0.07 -0.05 -0.01 27.61 1.27
beta_0jk[17]  0.09    0.01 0.03  0.04  0.07  0.09  0.11  0.14 27.89 1.26
